hiragana,katakana,romaji,level
あ,ア,a,1
い,イ,i,1
う,ウ,u,1
え,エ,e,1
お,オ,o,1
か,カ,ka,2
き,キ,ki,2
く,ク,ku,2
け,ケ,ke,2
こ,コ,ko,2
さ,サ,sa,3
し,シ,shi,3
す,ス,su,3
せ,セ,se,3
そ,ソ,so,3
た,タ,ta,4
ち,チ,chi,4
つ,ツ,tsu,4
て,テ,te,4
と,ト,to,4
な,ナ,na,5
に,ニ,ni,5
ぬ,ヌ,nu,5
ね,ネ,ne,5
の,ノ,no,5
は,ハ,ha,6
ひ,ヒ,hi,6
ふ,フ,fu,6
へ,ヘ,he,6
ほ,ホ,ho,6
ま,マ,ma,7
み,ミ,mi,7
む,ム,mu,7
め,メ,me,7
も,モ,mo,7
や,ヤ,ya,8
ゆ,ユ,yu,8
よ,ヨ,yo,8
ら,ラ,ra,9
り,リ,ri,9
る,ル,ru,9
れ,レ,re,9
ろ,ロ,ro,9
わ,ワ,wa,10
を,ヲ,wo,11
ん,ン,n,12
が,ガ,ga,13
ぎ,ギ,gi,13
ぐ,グ,gu,13
げ,ゲ,ge,13
ご,ゴ,go,13
ざ,ザ,za,14
じ,ジ,ji,14
ず,ズ,zu,14
ぜ,ゼ,ze,14
ぞ,ゾ,zo,14
だ,ダ,da,15
ぢ,ヂ,ji,15
づ,ヅ,zu,15
で,デ,de,15
ど,ド,do,15
ば,バ,ba,16
び,ビ,bi,16
ぶ,ブ,bu,16
べ,ベ,be,16
ぼ,ボ,bo,16
ぱ,パ,pa,17
ぴ,ピ,pi,17
ぷ,プ,pu,17
ぺ,ペ,pe,17
ぽ,ポ,po,17
きゃ,キャ,kya,18
きゅ,キュ,kyu,18
きょ,キョ,kyo,18
ぎゃ,ギャ,gya,18
ぎゅ,ギュ,gyu,18
ぎょ,ギョ,gyo,18
しゃ,シャ,sha,19
しゅ,シュ,shu,19
しょ,ショ,sho,19
じゃ,ジャ,ja,19
じゅ,ジュ,ju,19
じょ,ジョ,jo,19
ちゃ,チャ,cha,20
ちゅ,チュ,chu,20
ちょ,チョ,cho,20
ぢゃ,ヂャ,ja,20
ぢゅ,ヂュ,ju,20
ぢょ,ヂョ,jo,20
にゃ,ニャ,nya,21
にゅ,ニュ,nyu,21
にょ,ニョ,nyo,21
ひゃ,ヒャ,hya,22
ひゅ,ヒュ,hyu,22
ひょ,ヒョ,hyo,22
びゃ,ビャ,bya,22
びゅ,ビュ,byu,22
びょ,ビョ,byo,22
ぴゃ,ピャ,pya,22
ぴゅ,ピュ,pyu,22
ぴょ,ピョ,pyo,22
みゃ,ミャ,mya,23
みゅ,ミュ,myu,23
みょ,ミョ,myo,23
りゃ,リャ,rya,24
りゅ,リュ,ryu,24
りょ,リョ,ryo,24
