word,pitch
ああ,アー￣
ああ《×嗚呼》［感動詞］,ア＼ー
アーカイブ,ア＼ーカイブ
アーガイル［服飾］,アーガ＼イル
アーカンソー［地名］,アーカ＼ンソー
アークとう【アーク灯】,アーくトー￣
アーケード,ア＼ーケード
アース,ア＼ース
アーチ,ア＼ーチ
アーチェリー,ア＼ーチェリー
アーティスト,ア＼ーティすト
アート,ア＼ート
アーバンライフ,アーバンラ＼イフ
アーヘン［地名］,ア＼ーヘン
アーム,ア＼ーム
アーメン［宗教］,ア＼ーメン
アーモンド,ア＼ーモンド
アーリントン［地名］,アーリ＼ントン
アール,ア＼ール
アールグレイ［食］,アールグレ＼イ
アールデコ,アールデ＼コ
アールヌーボー,アールヌ＼ーボー
あい【合い】,ア＼イ
あい【藍】,ア＼イ
あい《×間》,ア＼イ
あい【愛】,ア＼イ
あい【相】,ア＼イ
あいあいがさ【相合い傘】,アイアイカ゚＼サ
アイアン,アイアン￣
あいいく【愛育】,アイイク￣
あいいれない【相いれない】,ア＼イ・イレナイ￣
あいいろ【藍色】,アイイロ￣
あいいん【愛飲】,アイイン￣
あいいん【合い印】,アイイン￣
あいうち【相打ち】,アイウチ￣
あいえんか【愛煙家】,アイエンカ￣
あいえんきえん【合縁奇縁】,アイエンキ＼エン
あいおい【相生い】,アイオイ￣
あいおい【相生】［地名］,アイオイ￣
アイオワ［地名］,アイオワ￣
あいか【哀歌】,ア＼イカ
アイガー［地名］,ア＼イガー
あいかぎ【合鍵】,アイカキ゚￣
あいかた【合方】［芸能］,アイカタ￣
あいかた【相方】,アイカタ￣
あいがも《×間鴨》,アイカ゚モ￣
あいかわ【愛川】［地名］,ア＼イカワ
あいかわ【相川】［地名］,ア＼イカワ
あいかわらず【相変わらず】,アイカワラズ￣
あいかん【哀感】,アイカン￣
あいかん【哀歓】,アイカン￣
あいがん【哀願】,アイカ゚ン￣
あいがん【愛玩】,アイカ゚ン￣
あいぎ【合着】,アイキ゚＼
あいきどう【合気道】,アイキ＼ドー
あいきゃく【相客】,アイキャク￣
あいきょう【愛きょう《×敬，嬌》】,アイキョ＼ー
あいきょうげん【間狂言】［芸能］,アイキョ＼ーケ゚ン
あいきょうしん【愛郷心】,アイキョ＼ーシン
あいきょうもの【愛きょう者《×敬，嬌》】,アイキョーモノ￣
あいぎん【愛吟】,アイキ゚ン￣
あいくち【合い口】,アイくチ￣
あいくち《×匕首》,アイくチ￣
あいくるしい【愛くるしい】,アイクルシ＼イ
あいけん【愛犬】,アイケン￣
あいこ,アイコ＼
あいこ【愛顧】,ア＼イコ
あいご【愛護】,ア＼イコ゚
あいこう【愛好】,アイコー￣
あいこうか【愛好家】,アイコーカ￣
あいこうしゃ【愛好者】,アイコ＼ーシャ
あいこうしん【愛校心】,アイコ＼ーシン
あいこく【愛国】,アイコク￣
あいこくしゃ【愛国者】,アイコ＼くシャ
あいこくしん【愛国心】,アイコく＼シン
あいことなる【相異なる】,ア＼イ・コトナ＼ル
あいことば【合言葉】,アイコ＼トバ
あいごま【あい駒《×間》】［将棋］,アイコ゚マ￣
アイコン,アイコン￣
アイコンタクト,アイコ＼ンタくト
あいさい【愛妻】,アイサイ￣
あいさい【愛西】［地名］,アイサイ￣
あいさいか【愛妻家】,アイサイカ￣
